Image Name,RGB Color,Assigned Color Name,Assigned Base Color
image_0.jpg,"(24, 27, 47)",grey13,Black
image_1.jpg,"(184, 32, 32)",firebrick,Brown
image_10.jpg,"(235, 233, 220)",seashell2,White
image_11.jpg,"(231, 228, 218)",seashell2,Pink
image_12.jpg,"(36, 39, 51)",grey16,Black
image_13.jpg,"(224, 223, 219)",grey87,Pink
image_14.jpg,"(192, 204, 221)",azure3,Silver
image_15.jpg,"(220, 218, 180)",Wheat,Silver
image_16.jpg,"(41, 41, 44)",grey16,Black
image_17.jpg,"(135, 56, 75)",IndianRed4,Brown
image_18.jpg,"(107, 80, 97)",grey37,Gray
image_19.jpg,"(183, 167, 142)",PeachPuff3,Silver
image_2.jpg,"(231, 230, 233)",grey91,White
image_20.jpg,"(165, 148, 92)",Medium Wood,Gray
image_21.jpg,"(239, 236, 238)",grey93,White
image_22.jpg,"(40, 67, 34)",Dark Green,Black
image_23.jpg,"(227, 214, 221)",gainsboro,Pink
image_24.jpg,"(161, 161, 170)",grey64,Silver
image_25.jpg,"(191, 184, 188)",grey74,Silver
image_26.jpg,"(10, 11, 14)",grey5,Black
image_27.jpg,"(41, 43, 47)",grey17,Black
image_28.jpg,"(37, 34, 27)",grey13,Black
image_29.jpg,"(133, 78, 57)",salmon4,Brown
image_3.jpg,"(134, 130, 150)",thistle4,Gray
image_30.jpg,"(28, 28, 49)",grey14,Black
image_31.jpg,"(171, 44, 52)",brown,Brown
image_32.jpg,"(229, 229, 218)",grey88,Pink
image_33.jpg,"(132, 107, 94)",Light Wood,Gray
image_34.jpg,"(203, 187, 191)",LavenderBlush3,Silver
image_35.jpg,"(181, 164, 135)",RosyBrown,Gray
image_36.jpg,"(9, 9, 9)",grey3,Black
image_37.jpg,"(166, 144, 114)",Medium Wood,Gray
image_38.jpg,"(32, 31, 36)",grey13,Black
image_39.jpg,"(124, 35, 21)",firebrick4,Maroon
image_4.jpg,"(23, 23, 32)",grey10,Black
image_40.jpg,"(181, 178, 162)",grey68,Silver
image_41.jpg,"(29, 28, 34)",grey12,Black
image_42.jpg,"(57, 57, 60)",grey23,Black
image_43.jpg,"(200, 177, 162)",bisque3,Silver
image_44.jpg,"(193, 195, 195)",grey76,Silver
image_45.jpg,"(30, 32, 37)",grey13,Black
image_46.jpg,"(77, 87, 98)",grey34,Gray
image_47.jpg,"(168, 207, 233)",LightSkyBlue2,Silver
image_48.jpg,"(130, 150, 158)",LightSlateGrey,Gray
image_49.jpg,"(244, 97, 177)",HotPink,Pink
image_5.jpg,"(215, 206, 220)",grey84,Silver
image_50.jpg,"(202, 206, 222)",LightGray,Silver
image_51.jpg,"(48, 33, 39)",grey16,Black
image_52.jpg,"(37, 38, 40)",grey15,Black
image_53.jpg,"(43, 33, 33)",grey14,Black
image_54.jpg,"(20, 19, 28)",grey9,Black
image_55.jpg,"(127, 137, 147)",azure4,Gray
image_56.jpg,"(153, 181, 206)",SlateGray3,Silver
image_57.jpg,"(234, 63, 146)",VioletRed2,Purple
image_58.jpg,"(223, 58, 27)",firebrick2,Brown
image_59.jpg,"(172, 169, 171)",grey67,Silver
image_6.jpg,"(89, 80, 66)",grey31,Gray
image_60.jpg,"(239, 233, 231)",snow2,White
image_61.jpg,"(28, 28, 26)",grey11,Black
image_62.jpg,"(70, 59, 110)",Corn Flower Blue,Purple
image_63.jpg,"(159, 133, 114)",Medium Wood,Gray
image_64.jpg,"(91, 68, 58)",dark brown,Brown
image_65.jpg,"(136, 119, 106)",PeachPuff4,Gray
image_66.jpg,"(18, 14, 11)",grey6,Black
image_67.jpg,"(186, 131, 105)",LightSalmon3,Gray
image_68.jpg,"(107, 89, 81)",grey36,Gray
image_69.jpg,"(161, 163, 141)",grey61,Gray
image_7.jpg,"(121, 128, 128)",grey49,Gray
image_70.jpg,"(201, 111, 127)",PaleVioletRed3,Gray
image_71.jpg,"(190, 155, 119)",Green YellowÂ [sic],Gray
image_72.jpg,"(229, 228, 230)",grey90,White
image_8.jpg,"(237, 81, 65)",tomato2,Brown
image_9.jpg,"(188, 212, 181)",honeydew3,Silver
